epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.0833,1.9183,1.87126,1.3403,0.34931,0.22152,0.18729,0.09593,2.06469,3.33741,1.44524,0.000661111,0.000661111,0.0676056
2,95.163,1.9086,1.40015,1.33153,0.67257,0.52002,0.56844,0.25977,1.99679,1.4505,1.44111,0.00130149,0.00130149,0.0349126
3,134.067,1.86298,1.30248,1.31787,0.65086,0.56634,0.58092,0.26878,1.94866,1.45532,1.3844,0.00191546,0.00191546,0.00219324
4,171.637,1.88211,1.2958,1.32871,0.65334,0.59494,0.61316,0.28015,1.91054,2.50879,1.36484,0.0018812,0.0018812,0.0018812
5,203.988,1.80083,1.22124,1.27479,0.66004,0.59705,0.61142,0.27905,1.97657,2.30016,1.40652,0.0018416,0.0018416,0.0018416
6,238.06,1.77081,1.17886,1.27014,0.66004,0.65401,0.68118,0.32851,1.8099,1.18657,1.30686,0.001802,0.001802,0.001802
7,273.474,1.71859,1.11194,1.2407,0.73042,0.67932,0.6947,0.33922,1.81986,1.10487,1.30741,0.0017624,0.0017624,0.0017624
8,304.303,1.70907,1.07291,1.2446,0.69286,0.69484,0.69555,0.35343,1.76522,1.21235,1.28986,0.0017228,0.0017228,0.0017228
9,337.275,1.68194,1.05445,1.20221,0.81611,0.67932,0.74624,0.36717,1.76868,0.99342,1.27996,0.0016832,0.0016832,0.0016832
10,370.19,1.64605,1.03064,1.20567,0.75983,0.73418,0.73187,0.35647,1.79867,1.05558,1.29838,0.0016436,0.0016436,0.0016436
11,405.572,1.68523,1.03612,1.22856,0.73032,0.76559,0.75198,0.3785,1.73459,0.96268,1.25351,0.001604,0.001604,0.001604
12,440.289,1.64772,1.02259,1.20795,0.73551,0.76793,0.76262,0.37752,1.74055,0.99455,1.24543,0.0015644,0.0015644,0.0015644
13,473.788,1.62958,0.99213,1.1995,0.75072,0.76582,0.78287,0.37882,1.73963,1.02068,1.28951,0.0015248,0.0015248,0.0015248
14,509.683,1.60894,0.98243,1.18309,0.77813,0.77426,0.77434,0.4007,1.6649,0.93679,1.2532,0.0014852,0.0014852,0.0014852
15,542.317,1.58923,0.95569,1.1846,0.76566,0.74684,0.74262,0.38045,1.71118,1.13153,1.27392,0.0014456,0.0014456,0.0014456
16,585.385,1.58114,0.93969,1.17451,0.78957,0.74408,0.76666,0.40956,1.64179,0.90246,1.21586,0.001406,0.001406,0.001406
17,624.521,1.54187,0.9178,1.15277,0.77992,0.77754,0.77135,0.40431,1.63935,0.95401,1.22648,0.0013664,0.0013664,0.0013664
18,655.346,1.56858,0.92653,1.16699,0.79538,0.80367,0.79601,0.42241,1.62916,0.8954,1.20282,0.0013268,0.0013268,0.0013268
19,687.536,1.59573,0.9384,1.18578,0.76763,0.75105,0.76249,0.40563,1.61703,0.93959,1.22812,0.0012872,0.0012872,0.0012872
20,735.915,1.51488,0.88795,1.14561,0.80349,0.75949,0.80355,0.43401,1.60415,0.89331,1.19627,0.0012476,0.0012476,0.0012476
21,769.876,1.5302,0.88662,1.14576,0.79194,0.76582,0.79621,0.43786,1.58943,0.86435,1.20493,0.001208,0.001208,0.001208
22,805.153,1.51126,0.88904,1.13991,0.79143,0.82457,0.81071,0.43224,1.58273,0.86266,1.19116,0.0011684,0.0011684,0.0011684
23,846.915,1.51986,0.86973,1.14501,0.77226,0.79958,0.79923,0.41874,1.6397,0.87664,1.21336,0.0011288,0.0011288,0.0011288
24,882.263,1.5248,0.89628,1.13916,0.78415,0.82008,0.80111,0.43554,1.5804,0.85194,1.18741,0.0010892,0.0010892,0.0010892
25,918.449,1.46304,0.85437,1.12512,0.81407,0.80591,0.80248,0.42713,1.62028,0.85576,1.19799,0.0010496,0.0010496,0.0010496
26,959.027,1.4889,0.85556,1.13503,0.80645,0.79115,0.80972,0.4393,1.56417,0.85258,1.19035,0.00101,0.00101,0.00101
27,994.809,1.47678,0.85101,1.13638,0.80875,0.77848,0.80805,0.42895,1.61103,0.85244,1.20906,0.0009704,0.0009704,0.0009704
28,1036.01,1.45349,0.83508,1.12276,0.83058,0.80676,0.82324,0.44939,1.55618,0.80864,1.18158,0.0009308,0.0009308,0.0009308
29,1076.54,1.42563,0.81457,1.11344,0.81553,0.8021,0.8192,0.4447,1.54553,0.80657,1.17788,0.0008912,0.0008912,0.0008912
30,1112.12,1.43713,0.82008,1.10862,0.82408,0.82026,0.80756,0.45182,1.49713,0.83344,1.16782,0.0008516,0.0008516,0.0008516
31,1144.34,1.40403,0.80132,1.11281,0.80496,0.81844,0.81113,0.44379,1.53936,0.78757,1.16154,0.000812,0.000812,0.000812
32,1179.53,1.40084,0.7862,1.09763,0.82436,0.80802,0.83291,0.46393,1.54166,0.79079,1.1769,0.0007724,0.0007724,0.0007724
33,1214.37,1.41669,0.80076,1.08544,0.81904,0.82118,0.84361,0.47173,1.49447,0.76704,1.14781,0.0007328,0.0007328,0.0007328
34,1250.84,1.3817,0.79187,1.09816,0.82613,0.82489,0.83652,0.47228,1.51107,0.77137,1.14941,0.0006932,0.0006932,0.0006932
35,1288.79,1.38407,0.77455,1.09845,0.82149,0.83497,0.84984,0.4672,1.48675,0.7726,1.15916,0.0006536,0.0006536,0.0006536
36,1324.13,1.39673,0.78351,1.08748,0.85153,0.81646,0.84035,0.45483,1.50025,0.76569,1.1517,0.000614,0.000614,0.000614
37,1361.43,1.38666,0.76833,1.08959,0.84037,0.83301,0.86156,0.48554,1.46674,0.74692,1.14704,0.0005744,0.0005744,0.0005744
38,1393,1.39373,0.77224,1.0846,0.8263,0.833,0.84563,0.47709,1.46435,0.74384,1.1377,0.0005348,0.0005348,0.0005348
39,1436.11,1.34728,0.75371,1.07386,0.83671,0.82158,0.85005,0.47726,1.47928,0.73568,1.1431,0.0004952,0.0004952,0.0004952
40,1468.61,1.33059,0.74178,1.07664,0.82437,0.84169,0.85579,0.47539,1.47284,0.74161,1.13466,0.0004556,0.0004556,0.0004556
41,1509.64,1.34986,0.72467,1.09154,0.84022,0.83204,0.86559,0.48999,1.46718,0.73657,1.14542,0.000416,0.000416,0.000416
42,1541.85,1.32927,0.71924,1.0821,0.82884,0.83544,0.86825,0.50021,1.42851,0.71689,1.12487,0.0003764,0.0003764,0.0003764
43,1579.34,1.31897,0.7087,1.07297,0.83122,0.84177,0.86167,0.50212,1.42164,0.72929,1.12105,0.0003368,0.0003368,0.0003368
44,1609.7,1.31093,0.70246,1.07549,0.82574,0.85654,0.86886,0.50711,1.4088,0.72845,1.11214,0.0002972,0.0002972,0.0002972
45,1641.9,1.28737,0.68586,1.06978,0.83602,0.83755,0.86417,0.49812,1.44162,0.72374,1.13482,0.0002576,0.0002576,0.0002576
46,1670.24,1.28747,0.68459,1.06245,0.83676,0.83269,0.85135,0.50138,1.40738,0.7175,1.11319,0.000218,0.000218,0.000218
47,1711.88,1.27434,0.68604,1.05713,0.82398,0.83544,0.86076,0.5087,1.39822,0.71132,1.1077,0.0001784,0.0001784,0.0001784
48,1749.5,1.24692,0.67526,1.04858,0.83469,0.83544,0.86118,0.50858,1.39648,0.70422,1.10989,0.0001388,0.0001388,0.0001388
49,1781.29,1.25528,0.66394,1.06082,0.83702,0.83544,0.87005,0.51575,1.37772,0.69422,1.10163,9.92e-05,9.92e-05,9.92e-05
50,1818.96,1.24489,0.6666,1.049,0.84767,0.82911,0.86918,0.51614,1.37652,0.69056,1.10455,5.96e-05,5.96e-05,5.96e-05
