epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3728,1.95503,1.87497,1.37358,0.42734,0.19046,0.16236,0.08607,2.10939,4.38351,1.48211,0.000661111,0.000661111,0.0676056
2,77.401,1.93885,1.41565,1.37343,0.48951,0.51956,0.49217,0.2264,2.08385,1.62423,1.46973,0.00130149,0.00130149,0.0349126
3,110.759,1.91073,1.34137,1.35136,0.52778,0.52929,0.4773,0.21022,2.06176,1.91524,1.40991,0.00191546,0.00191546,0.00219324
4,140.2,1.89014,1.30693,1.34273,0.60155,0.56695,0.52188,0.20498,2.00188,2.22911,1.40372,0.0018812,0.0018812,0.0018812
5,175.085,1.83432,1.23685,1.29153,0.65466,0.63058,0.61591,0.26965,1.96541,1.26824,1.34305,0.0018416,0.0018416,0.0018416
6,215.831,1.79582,1.1957,1.27788,0.61705,0.62552,0.58367,0.26254,1.98904,1.43258,1.35938,0.001802,0.001802,0.001802
7,243.858,1.77044,1.15385,1.26632,0.65153,0.69234,0.65857,0.31973,1.87928,1.16593,1.31066,0.0017624,0.0017624,0.0017624
8,276.365,1.75823,1.14671,1.26061,0.74672,0.74015,0.72618,0.32928,1.85816,1.1082,1.30971,0.0017228,0.0017228,0.0017228
9,308.612,1.72677,1.10553,1.2329,0.68941,0.70084,0.68464,0.31877,1.86117,1.21037,1.2794,0.0016832,0.0016832,0.0016832
10,339.947,1.70027,1.06291,1.23136,0.68989,0.67992,0.68926,0.33344,1.85339,1.05758,1.26992,0.0016436,0.0016436,0.0016436
11,373.197,1.68554,1.04732,1.23195,0.73422,0.75523,0.72161,0.35698,1.7666,1.04687,1.27774,0.001604,0.001604,0.001604
12,401.786,1.66646,1.01975,1.22198,0.71605,0.67528,0.69119,0.32909,1.82912,1.13792,1.26777,0.0015644,0.0015644,0.0015644
13,437.512,1.64747,0.98735,1.20721,0.76325,0.7364,0.74197,0.35886,1.81756,1.02979,1.26806,0.0015248,0.0015248,0.0015248
14,467.597,1.66266,1.01885,1.2093,0.75669,0.72385,0.72276,0.36082,1.76869,1.02044,1.25463,0.0014852,0.0014852,0.0014852
15,503.535,1.61554,0.97362,1.18413,0.77983,0.7113,0.75481,0.37053,1.73777,0.99384,1.22849,0.0014456,0.0014456,0.0014456
16,539.6,1.60512,0.93905,1.1776,0.76269,0.75976,0.75768,0.39664,1.67257,0.93468,1.19846,0.001406,0.001406,0.001406
17,577.791,1.57644,0.93331,1.17131,0.76011,0.75314,0.74153,0.3589,1.80479,0.97905,1.26616,0.0013664,0.0013664,0.0013664
18,611.021,1.6208,0.96292,1.19319,0.75595,0.73431,0.73741,0.3628,1.77748,1.10828,1.26123,0.0013268,0.0013268,0.0013268
19,649.511,1.5797,0.95196,1.16417,0.77121,0.75941,0.75544,0.39532,1.66408,1.00148,1.20336,0.0012872,0.0012872,0.0012872
20,684.075,1.53175,0.90875,1.15641,0.81292,0.77268,0.77753,0.39616,1.69019,0.90744,1.20841,0.0012476,0.0012476,0.0012476
21,721.419,1.56222,0.92659,1.15974,0.76703,0.73702,0.76473,0.40008,1.68539,0.91793,1.21254,0.001208,0.001208,0.001208
22,750.444,1.54124,0.89676,1.15219,0.76915,0.75105,0.77223,0.3877,1.68498,0.93142,1.20689,0.0011684,0.0011684,0.0011684
23,787.068,1.54214,0.89361,1.15605,0.79478,0.76987,0.79343,0.41507,1.637,0.88217,1.19036,0.0011288,0.0011288,0.0011288
24,819.873,1.53935,0.88171,1.1493,0.8054,0.74477,0.76495,0.3914,1.72605,0.92507,1.22471,0.0010892,0.0010892,0.0010892
25,854.413,1.51574,0.86943,1.14553,0.82342,0.79916,0.80158,0.41646,1.64631,0.88939,1.18044,0.0010496,0.0010496,0.0010496
26,892.056,1.50952,0.85723,1.15308,0.78066,0.77615,0.77367,0.40765,1.65148,0.88022,1.17981,0.00101,0.00101,0.00101
27,928.486,1.50438,0.87242,1.13933,0.81721,0.77615,0.80778,0.42269,1.64736,0.84346,1.17712,0.0009704,0.0009704,0.0009704
28,962.981,1.48223,0.84475,1.12959,0.8081,0.77824,0.79232,0.4193,1.62781,0.88057,1.16685,0.0009308,0.0009308,0.0009308
29,998.152,1.47465,0.84858,1.12819,0.84537,0.74059,0.79372,0.42086,1.6254,0.87892,1.15791,0.0008912,0.0008912,0.0008912
30,1036.67,1.4738,0.85162,1.12006,0.81811,0.80335,0.8266,0.43841,1.59065,0.83826,1.16259,0.0008516,0.0008516,0.0008516
31,1066.96,1.46955,0.821,1.12938,0.81356,0.78243,0.79239,0.4262,1.60497,0.84184,1.16795,0.000812,0.000812,0.000812
32,1104.28,1.42604,0.81823,1.09958,0.79639,0.80189,0.7976,0.43161,1.62131,0.85639,1.17462,0.0007724,0.0007724,0.0007724
33,1142.21,1.46015,0.82784,1.11137,0.79006,0.76569,0.77861,0.42687,1.63436,0.83526,1.16477,0.0007328,0.0007328,0.0007328
34,1178.01,1.42534,0.80353,1.09969,0.81604,0.77406,0.8081,0.44608,1.58943,0.83252,1.15663,0.0006932,0.0006932,0.0006932
35,1215.26,1.40336,0.79068,1.09744,0.79865,0.8215,0.82378,0.44601,1.57866,0.80612,1.15122,0.0006536,0.0006536,0.0006536
36,1251.91,1.41891,0.79411,1.09927,0.8177,0.80703,0.8189,0.43964,1.60619,0.8145,1.16348,0.000614,0.000614,0.000614
37,1286.14,1.43373,0.79451,1.1091,0.82537,0.81081,0.81919,0.44443,1.56945,0.79721,1.14791,0.0005744,0.0005744,0.0005744
38,1315.41,1.4262,0.79065,1.09869,0.84671,0.79916,0.83296,0.44966,1.57623,0.80056,1.15051,0.0005348,0.0005348,0.0005348
39,1351.18,1.39989,0.77022,1.08952,0.82566,0.79263,0.81957,0.45227,1.56217,0.79138,1.15008,0.0004952,0.0004952,0.0004952
40,1384.73,1.36952,0.76769,1.08259,0.82356,0.81051,0.83685,0.45591,1.54635,0.78314,1.13806,0.0004556,0.0004556,0.0004556
41,1425.16,1.38616,0.7459,1.10495,0.83653,0.80292,0.83094,0.45717,1.54861,0.7924,1.14684,0.000416,0.000416,0.000416
42,1456.83,1.36579,0.73206,1.09817,0.8503,0.80335,0.84171,0.45835,1.54871,0.78071,1.1423,0.0003764,0.0003764,0.0003764
43,1488.25,1.36497,0.72883,1.08789,0.8311,0.80297,0.83324,0.47343,1.53969,0.76941,1.13691,0.0003368,0.0003368,0.0003368
44,1516.78,1.34728,0.7188,1.08232,0.84455,0.81836,0.83944,0.46825,1.519,0.74955,1.12704,0.0002972,0.0002972,0.0002972
45,1549.07,1.32954,0.71141,1.07458,0.84904,0.80544,0.84537,0.47519,1.50879,0.74422,1.12086,0.0002576,0.0002576,0.0002576
46,1575.61,1.33728,0.7116,1.07626,0.84605,0.80126,0.84601,0.472,1.52768,0.75311,1.12987,0.000218,0.000218,0.000218
47,1612.32,1.31189,0.69761,1.06781,0.84654,0.80783,0.84632,0.47773,1.50483,0.74923,1.11687,0.0001784,0.0001784,0.0001784
48,1643.77,1.29975,0.69428,1.06407,0.82974,0.82008,0.84677,0.47948,1.4973,0.74579,1.11881,0.0001388,0.0001388,0.0001388
49,1675.41,1.30371,0.68912,1.06558,0.84024,0.81799,0.85093,0.48261,1.50472,0.74233,1.1178,9.92e-05,9.92e-05,9.92e-05
50,1708.67,1.29227,0.69312,1.06295,0.83549,0.82008,0.85189,0.4841,1.49751,0.74533,1.11621,5.96e-05,5.96e-05,5.96e-05
