epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2165,2.01904,1.96936,1.39153,0.41971,0.31161,0.3324,0.15726,2.14022,2.1887,1.55834,0.000661111,0.000661111,0.0676056
2,86.6469,1.98794,1.46108,1.38097,0.54135,0.37067,0.39998,0.18254,2.1963,2.01274,1.48954,0.00130149,0.00130149,0.0349126
3,122.194,1.93508,1.40797,1.3423,0.55565,0.52749,0.4925,0.21078,2.08101,1.82489,1.48566,0.00191546,0.00191546,0.00219324
4,159.262,1.95087,1.36247,1.34409,0.51204,0.54924,0.46146,0.19471,1.97153,1.72247,1.40066,0.0018812,0.0018812,0.0018812
5,197.271,1.86837,1.27151,1.29196,0.60056,0.66802,0.59814,0.27731,1.93368,1.30413,1.42055,0.0018416,0.0018416,0.0018416
6,233.472,1.85166,1.22916,1.31085,0.72751,0.67425,0.67798,0.30048,1.99017,1.25322,1.40867,0.001802,0.001802,0.001802
7,266.43,1.80589,1.17403,1.27227,0.71489,0.6945,0.67678,0.29974,1.91331,1.28102,1.38668,0.0017624,0.0017624,0.0017624
8,304.186,1.77022,1.14681,1.26575,0.72237,0.6945,0.70247,0.32067,1.86228,1.18333,1.37337,0.0017228,0.0017228,0.0017228
9,342.868,1.73957,1.09113,1.22955,0.72689,0.69925,0.67419,0.3177,1.89011,1.17595,1.35597,0.0016832,0.0016832,0.0016832
10,377.171,1.71089,1.08786,1.21757,0.75282,0.6334,0.68029,0.32976,1.83972,1.16243,1.34599,0.0016436,0.0016436,0.0016436
11,408.438,1.70245,1.07111,1.23224,0.73139,0.67656,0.70698,0.35137,1.77466,1.05888,1.30712,0.001604,0.001604,0.001604
12,440.862,1.67774,1.05036,1.21908,0.76654,0.71551,0.70966,0.34674,1.80376,1.09717,1.31988,0.0015644,0.0015644,0.0015644
13,477.038,1.67299,1.01254,1.20619,0.71244,0.72709,0.71287,0.35547,1.7503,1.06325,1.32106,0.0015248,0.0015248,0.0015248
14,511.896,1.66675,1.03805,1.20635,0.7586,0.73931,0.7246,0.35703,1.78213,1.01981,1.31899,0.0014852,0.0014852,0.0014852
15,544.107,1.65632,1.01697,1.19449,0.79235,0.71283,0.72142,0.35242,1.77008,1.02957,1.29155,0.0014456,0.0014456,0.0014456
16,577.78,1.6269,0.98327,1.18039,0.80198,0.7506,0.76731,0.38053,1.71279,0.98483,1.29071,0.001406,0.001406,0.001406
17,614.18,1.58634,0.9709,1.17024,0.79779,0.75764,0.76921,0.38487,1.69166,0.97933,1.27888,0.0013664,0.0013664,0.0013664
18,652.197,1.59747,0.97007,1.17333,0.79298,0.74338,0.76468,0.39049,1.71755,0.95447,1.28124,0.0013268,0.0013268,0.0013268
19,688.883,1.63037,0.97708,1.17774,0.80534,0.7332,0.75998,0.39466,1.6516,0.95287,1.25491,0.0012872,0.0012872,0.0012872
