epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3699,1.85813,1.71892,1.29308,0.41187,0.43976,0.35944,0.16931,2.04373,1.9191,1.42358,0.000661111,0.000661111,0.0676056
2,73.1745,1.85248,1.29824,1.31708,0.60952,0.66667,0.63305,0.3012,1.92134,1.42855,1.32851,0.00130149,0.00130149,0.0349126
3,111.249,1.82759,1.27081,1.30908,0.65835,0.62651,0.63483,0.30514,1.85364,1.30337,1.2794,0.00191546,0.00191546,0.00219324
4,147.122,1.80522,1.20669,1.29388,0.701,0.69676,0.6588,0.30287,1.82317,1.64612,1.33492,0.0018812,0.0018812,0.0018812
5,182.974,1.79824,1.17606,1.27737,0.65419,0.67269,0.64595,0.31067,1.88032,1.29934,1.30417,0.0018416,0.0018416,0.0018416
6,220.633,1.75248,1.11559,1.26353,0.72146,0.71486,0.6985,0.34461,1.80027,1.09452,1.25119,0.001802,0.001802,0.001802
7,255.197,1.73599,1.07902,1.24919,0.76762,0.73628,0.72369,0.37795,1.76923,1.01934,1.26057,0.0017624,0.0017624,0.0017624
8,287.977,1.68728,1.05063,1.22573,0.70492,0.76506,0.72378,0.3637,1.76343,1.15946,1.2584,0.0017228,0.0017228,0.0017228
9,330.829,1.68824,1.02744,1.22276,0.76732,0.76813,0.75592,0.37999,1.70565,1.06538,1.23932,0.0016832,0.0016832,0.0016832
10,365.424,1.64819,0.9976,1.21386,0.76374,0.73896,0.75479,0.39821,1.70214,0.96261,1.22306,0.0016436,0.0016436,0.0016436
11,398.797,1.61919,1.00061,1.20657,0.73701,0.78313,0.73926,0.38531,1.69116,1.02502,1.23173,0.001604,0.001604,0.001604
12,433.877,1.66245,1.00306,1.22043,0.74048,0.72192,0.72473,0.37464,1.67292,1.10876,1.23172,0.0015644,0.0015644,0.0015644
13,470.368,1.61497,0.97608,1.19625,0.78865,0.75502,0.78473,0.39711,1.66429,0.98057,1.23131,0.0015248,0.0015248,0.0015248
14,504.349,1.60848,0.96372,1.20193,0.78352,0.75703,0.76543,0.39973,1.6622,0.95196,1.2169,0.0014852,0.0014852,0.0014852
