epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9474,2.04059,2.93173,1.42484,0.91667,0.08527,0.50032,0.2424,2.08923,4.5751,1.4998,0.000654971,0.000654971,0.0679064
2,41.5241,2.10635,2.0509,1.49358,0.53397,0.29457,0.33711,0.15844,2.11094,2.12783,1.62733,0.00129547,0.00129547,0.0352136
3,57.6851,2.02239,1.86805,1.4586,0.59009,0.37984,0.39386,0.19249,1.98751,4.62819,1.53325,0.00190957,0.00190957,0.00249436
4,79.455,1.9543,1.78693,1.4257,0.35919,0.52713,0.3763,0.17142,1.88337,4.33607,1.45653,0.0018812,0.0018812,0.0018812
5,97.7265,1.9061,1.61126,1.38464,0.52294,0.4031,0.38238,0.20193,1.96671,2.86888,1.41963,0.0018416,0.0018416,0.0018416
6,113.257,1.87084,1.51363,1.35463,0.78529,0.39694,0.46708,0.22057,1.93551,3.42681,1.48613,0.001802,0.001802,0.001802
7,130.344,1.83627,1.4874,1.34353,0.70975,0.36434,0.40795,0.2315,1.88726,2.02954,1.34834,0.0017624,0.0017624,0.0017624
8,148.081,1.80847,1.41373,1.33671,0.71769,0.49269,0.55098,0.26022,1.98369,1.6281,1.37176,0.0017228,0.0017228,0.0017228
9,163.761,1.79769,1.3757,1.31817,0.64396,0.63093,0.60227,0.2863,1.84104,1.38757,1.36483,0.0016832,0.0016832,0.0016832
10,181.016,1.76676,1.33492,1.3001,0.79927,0.50388,0.60842,0.29574,1.84425,1.33076,1.35948,0.0016436,0.0016436,0.0016436
11,197.744,1.68843,1.27237,1.26324,0.78037,0.62791,0.65418,0.31216,1.78358,1.20112,1.25512,0.001604,0.001604,0.001604
12,216.34,1.71717,1.28121,1.2689,0.7749,0.6138,0.65823,0.32125,1.78606,1.21786,1.29932,0.0015644,0.0015644,0.0015644
13,231.353,1.64659,1.17174,1.24119,0.81852,0.60465,0.63262,0.31702,1.78408,1.36056,1.28799,0.0015248,0.0015248,0.0015248
14,248.203,1.63692,1.14571,1.21567,0.86801,0.61175,0.66975,0.35405,1.71254,1.24292,1.2447,0.0014852,0.0014852,0.0014852
15,263.975,1.57396,1.09369,1.20432,0.8588,0.63566,0.71376,0.38397,1.60168,1.0168,1.20483,0.0014456,0.0014456,0.0014456
16,281.511,1.57394,1.0632,1.18352,0.88576,0.5969,0.6764,0.37352,1.72511,1.05479,1.25034,0.001406,0.001406,0.001406
17,296.769,1.55779,1.04753,1.19755,0.79641,0.60651,0.67317,0.34903,1.74246,1.05584,1.29763,0.0013664,0.0013664,0.0013664
18,312.594,1.58111,1.01733,1.20896,0.88153,0.63452,0.7256,0.39093,1.60367,1.05926,1.22239,0.0013268,0.0013268,0.0013268
19,328.507,1.50355,0.99198,1.16855,0.82453,0.72868,0.74018,0.39483,1.58085,0.93743,1.18964,0.0012872,0.0012872,0.0012872
