epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.519,2.09278,3.02746,1.45117,0.375,0.07317,0.22351,0.09605,2.23609,4.99852,1.69802,0.000654971,0.000654971,0.0679064
2,40.2902,2.04862,1.87164,1.4859,0.49762,0.26829,0.29358,0.11112,2.1514,2.8318,1.56828,0.00129547,0.00129547,0.0352136
3,57.7047,1.89812,1.70326,1.3911,0.80149,0.34146,0.39487,0.15439,2.18741,2.17828,1.76366,0.00190957,0.00190957,0.00249436
4,75.4974,1.9572,1.63652,1.4097,0.4694,0.34146,0.30572,0.14471,2.08555,2.92173,1.49712,0.0018812,0.0018812,0.0018812
5,93.6876,1.95218,1.5305,1.36507,0.85176,0.4878,0.56402,0.22445,2.08117,2.02282,1.5099,0.0018416,0.0018416,0.0018416
6,109.31,1.90763,1.47481,1.34585,0.72321,0.44611,0.52266,0.22227,1.91294,1.86594,1.44083,0.001802,0.001802,0.001802
7,128.057,1.79022,1.3453,1.32374,0.51435,0.43902,0.45515,0.22893,1.97001,1.5121,1.40626,0.0017624,0.0017624,0.0017624
8,146.409,1.7811,1.30265,1.30857,0.687,0.44614,0.48746,0.23049,1.90165,1.45086,1.42571,0.0017228,0.0017228,0.0017228
9,164.076,1.81346,1.30749,1.31376,0.84272,0.52275,0.57841,0.22982,1.91124,1.3821,1.391,0.0016832,0.0016832,0.0016832
10,180.76,1.77663,1.24174,1.3126,0.86327,0.53659,0.62791,0.28053,1.90411,1.2936,1.39123,0.0016436,0.0016436,0.0016436
11,201.696,1.74758,1.18072,1.26514,0.91864,0.50407,0.61497,0.29057,1.85085,1.20131,1.3663,0.001604,0.001604,0.001604
12,218.974,1.73094,1.19677,1.26102,0.79347,0.57724,0.60885,0.28085,1.85285,1.31705,1.39147,0.0015644,0.0015644,0.0015644
13,238.7,1.70683,1.14753,1.26678,0.8059,0.61789,0.65772,0.28543,1.83172,1.23674,1.33424,0.0015248,0.0015248,0.0015248
14,254.256,1.64661,1.101,1.21711,0.77462,0.69919,0.68092,0.31023,1.76478,1.09344,1.3062,0.0014852,0.0014852,0.0014852
15,272.343,1.599,1.04954,1.21529,0.90238,0.62602,0.6732,0.33259,1.79366,1.31372,1.29636,0.0014456,0.0014456,0.0014456
