epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4086,2.2501,3.29756,1.56249,0.22951,0.11382,0.14964,0.07622,2.21,4.70847,1.37626,0.000654971,0.000654971,0.0679064
2,34.7067,2.14433,2.20942,1.51756,0.19993,0.09756,0.07051,0.03305,2.21212,3.31024,1.54899,0.00129547,0.00129547,0.0352136
3,52.8816,2.09423,1.95909,1.45488,0.46392,0.30081,0.25797,0.1159,2.23808,2.61421,1.58799,0.00190957,0.00190957,0.00249436
4,68.5372,2.03039,1.87133,1.47427,0.35143,0.31707,0.24845,0.09078,2.14816,2.68119,1.50731,0.0018812,0.0018812,0.0018812
5,85.5127,2.00623,1.70663,1.42996,0.46021,0.43902,0.3684,0.1483,1.98215,1.65748,1.39595,0.0018416,0.0018416,0.0018416
6,99.1237,1.98335,1.68262,1.39632,0.5089,0.51393,0.48975,0.22375,1.94821,2.14169,1.36153,0.001802,0.001802,0.001802
7,112.874,2.00092,1.65746,1.41513,0.69011,0.4878,0.50101,0.23276,1.85077,1.49198,1.33839,0.0017624,0.0017624,0.0017624
8,126.53,1.88555,1.50293,1.34441,0.67786,0.52846,0.56808,0.26446,1.90873,1.55523,1.32893,0.0017228,0.0017228,0.0017228
9,140.567,1.84509,1.45174,1.35489,0.80297,0.44715,0.54881,0.24849,1.89247,1.54308,1.33272,0.0016832,0.0016832,0.0016832
10,153.978,1.87248,1.42312,1.35808,0.77118,0.53659,0.5934,0.28081,1.89272,1.38522,1.32187,0.0016436,0.0016436,0.0016436
11,167.937,1.7827,1.33659,1.28322,0.73975,0.44715,0.54471,0.26187,1.93601,1.8727,1.32912,0.001604,0.001604,0.001604
12,182.126,1.74933,1.31282,1.27772,0.70379,0.55285,0.57894,0.30611,1.73144,1.30224,1.26722,0.0015644,0.0015644,0.0015644
13,197.458,1.71506,1.29165,1.27936,0.82351,0.64228,0.67213,0.33266,1.71023,1.16653,1.22273,0.0015248,0.0015248,0.0015248
14,217.224,1.70751,1.19303,1.24,0.78585,0.6748,0.66584,0.28374,1.83813,1.26491,1.31538,0.0014852,0.0014852,0.0014852
15,233.202,1.62034,1.16135,1.20763,0.86223,0.60163,0.66759,0.29733,1.75352,1.1591,1.23447,0.0014456,0.0014456,0.0014456
16,248.124,1.69482,1.18039,1.24457,0.79267,0.60163,0.61552,0.2974,1.80653,1.27222,1.26892,0.001406,0.001406,0.001406
17,266.076,1.62089,1.14989,1.21301,0.89309,0.66667,0.7079,0.34529,1.67626,1.06341,1.22363,0.0013664,0.0013664,0.0013664
18,279.691,1.58165,1.06706,1.20766,0.90911,0.65057,0.72491,0.37342,1.68266,1.00803,1.20317,0.0013268,0.0013268,0.0013268
19,294.066,1.57916,1.05352,1.19548,0.85957,0.69106,0.71315,0.36129,1.64001,1.08666,1.20386,0.0012872,0.0012872,0.0012872
20,308.353,1.64166,1.07515,1.2067,0.86506,0.66667,0.6978,0.36102,1.62651,1.04823,1.20021,0.0012476,0.0012476,0.0012476
21,323.922,1.57962,1.03033,1.18795,0.89089,0.66384,0.68816,0.36379,1.68291,1.02976,1.23701,0.001208,0.001208,0.001208
22,338.696,1.56376,1.03812,1.18498,0.86365,0.65854,0.70921,0.36623,1.66645,0.9923,1.23334,0.0011684,0.0011684,0.0011684
23,353.839,1.51526,0.99334,1.15524,0.88582,0.70732,0.73445,0.38145,1.56158,0.98972,1.18629,0.0011288,0.0011288,0.0011288
24,366.566,1.50523,0.96619,1.15666,0.96522,0.67698,0.75176,0.38958,1.60255,0.90757,1.18549,0.0010892,0.0010892,0.0010892
25,379.669,1.54462,0.94651,1.15978,0.94518,0.70095,0.74407,0.37569,1.59286,0.96581,1.16956,0.0010496,0.0010496,0.0010496
26,393.03,1.48746,0.94675,1.14824,0.96428,0.65836,0.72555,0.38101,1.63827,0.93537,1.19297,0.00101,0.00101,0.00101
27,405.369,1.48062,0.90572,1.13674,0.95718,0.72692,0.75759,0.41709,1.48884,0.8643,1.14288,0.0009704,0.0009704,0.0009704
28,418.677,1.47042,0.89354,1.13659,0.97111,0.69919,0.74761,0.40934,1.57916,0.89103,1.18606,0.0009308,0.0009308,0.0009308
29,431.735,1.43381,0.88578,1.11977,0.94546,0.70466,0.74337,0.39962,1.57165,0.8434,1.1772,0.0008912,0.0008912,0.0008912
30,446.107,1.48354,0.9006,1.12682,0.96368,0.71545,0.76807,0.40709,1.55495,0.83381,1.15582,0.0008516,0.0008516,0.0008516
31,459.673,1.4523,0.87268,1.11683,0.93812,0.72358,0.77211,0.44304,1.47557,0.82717,1.13468,0.000812,0.000812,0.000812
32,472.953,1.39601,0.83673,1.09918,0.92635,0.69919,0.75766,0.42745,1.44468,0.83998,1.12979,0.0007724,0.0007724,0.0007724
33,487.922,1.40082,0.81808,1.09792,0.9752,0.69919,0.75941,0.4168,1.51396,0.80372,1.13504,0.0007328,0.0007328,0.0007328
34,500.402,1.37969,0.80673,1.09084,0.97839,0.72358,0.78378,0.4303,1.47419,0.76926,1.13876,0.0006932,0.0006932,0.0006932
35,514.384,1.36786,0.81189,1.09899,0.96835,0.74632,0.77736,0.42397,1.47442,0.78466,1.13067,0.0006536,0.0006536,0.0006536
36,528.917,1.30814,0.77295,1.05165,0.95576,0.70254,0.75812,0.41785,1.55998,0.80717,1.16949,0.000614,0.000614,0.000614
37,542.37,1.32744,0.78387,1.07752,0.95759,0.73426,0.77448,0.44085,1.46537,0.77395,1.12692,0.0005744,0.0005744,0.0005744
38,556.025,1.30768,0.77153,1.05977,0.94719,0.72916,0.79659,0.44051,1.49892,0.77282,1.12863,0.0005348,0.0005348,0.0005348
39,570.345,1.28436,0.77094,1.04688,0.97173,0.71545,0.78923,0.43249,1.47871,0.75244,1.12674,0.0004952,0.0004952,0.0004952
40,584.643,1.30523,0.76711,1.05064,0.96899,0.76205,0.79575,0.44824,1.47411,0.73289,1.12718,0.0004556,0.0004556,0.0004556
41,605.191,1.25965,0.70723,1.0578,0.98113,0.70732,0.77604,0.43439,1.47909,0.77311,1.13355,0.000416,0.000416,0.000416
42,618.256,1.24012,0.6665,1.04614,0.94784,0.73868,0.77461,0.41622,1.4915,0.77506,1.12842,0.0003764,0.0003764,0.0003764
43,630.852,1.20182,0.66107,1.02745,0.9487,0.75174,0.79811,0.44018,1.42315,0.72205,1.11768,0.0003368,0.0003368,0.0003368
44,642.548,1.19442,0.64908,1.0387,0.94809,0.74242,0.78338,0.45144,1.38543,0.71416,1.09879,0.0002972,0.0002972,0.0002972
45,653.96,1.16801,0.63957,1.02307,0.94625,0.71562,0.78064,0.42961,1.45554,0.71799,1.12744,0.0002576,0.0002576,0.0002576
46,666.226,1.16395,0.63122,1.01995,0.97814,0.72752,0.77983,0.42925,1.44603,0.72543,1.11008,0.000218,0.000218,0.000218
47,677.86,1.15131,0.61699,1.01768,0.9784,0.73644,0.78782,0.43773,1.40504,0.70572,1.10527,0.0001784,0.0001784,0.0001784
48,689.092,1.15909,0.6238,1.02999,0.9582,0.74556,0.7884,0.44725,1.4141,0.69671,1.10791,0.0001388,0.0001388,0.0001388
49,700.752,1.11637,0.59923,1.0124,0.94776,0.7561,0.78737,0.44401,1.41134,0.69662,1.1031,9.92e-05,9.92e-05,9.92e-05
50,712.212,1.12582,0.59364,1.01293,0.94858,0.7561,0.78705,0.44983,1.39787,0.69654,1.10343,5.96e-05,5.96e-05,5.96e-05
