epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.1314,2.01995,2.8245,1.37426,0.36508,0.18699,0.2757,0.14291,2.09289,4.39735,1.54051,0.000654971,0.000654971,0.0679064
2,50.9973,1.9745,1.80391,1.38535,0.32225,0.28455,0.26766,0.13321,2.05842,2.18141,1.46915,0.00129547,0.00129547,0.0352136
3,67.0062,1.92077,1.70969,1.37187,0.46941,0.30894,0.28214,0.13164,2.00182,4.78575,1.53283,0.00190957,0.00190957,0.00249436
4,82.5695,1.89453,1.63145,1.37845,0.40679,0.22303,0.21941,0.08579,2.18483,2.58519,1.46179,0.0018812,0.0018812,0.0018812
5,98.2463,1.87199,1.57154,1.31649,0.61514,0.39837,0.4067,0.21744,1.83188,1.92878,1.41474,0.0018416,0.0018416,0.0018416
6,114.044,1.82958,1.45991,1.30419,0.70904,0.5122,0.51824,0.24378,1.92153,1.55104,1.42105,0.001802,0.001802,0.001802
7,131.395,1.82212,1.40833,1.27598,0.82078,0.4878,0.54338,0.25837,1.87573,1.5858,1.40263,0.0017624,0.0017624,0.0017624
8,147.771,1.77178,1.33132,1.28367,0.63573,0.41149,0.45622,0.20627,2.03868,1.66466,1.47078,0.0017228,0.0017228,0.0017228
9,163.815,1.77017,1.29448,1.2868,0.70429,0.45528,0.51078,0.25487,1.84299,1.53908,1.36432,0.0016832,0.0016832,0.0016832
10,179.312,1.73017,1.23256,1.25359,0.78041,0.54899,0.61342,0.31533,1.75219,1.1963,1.32564,0.0016436,0.0016436,0.0016436
11,195.379,1.67375,1.17602,1.21874,0.73449,0.56911,0.6084,0.29386,1.81143,1.29076,1.30227,0.001604,0.001604,0.001604
12,210.905,1.67077,1.13609,1.21737,0.75359,0.58537,0.58635,0.3001,1.80605,1.26176,1.3328,0.0015644,0.0015644,0.0015644
13,226.849,1.63171,1.07515,1.20044,0.82806,0.5935,0.64111,0.33421,1.76938,1.19559,1.30307,0.0015248,0.0015248,0.0015248
14,242.85,1.66751,1.09513,1.1918,0.92818,0.52538,0.64868,0.33747,1.72845,1.06619,1.28523,0.0014852,0.0014852,0.0014852
15,257.917,1.59582,1.05561,1.20617,0.80157,0.57724,0.62191,0.33018,1.79277,1.19467,1.33178,0.0014456,0.0014456,0.0014456
16,273.352,1.56311,1.02534,1.18753,0.87187,0.52846,0.63492,0.34633,1.71905,1.05409,1.28872,0.001406,0.001406,0.001406
17,289.821,1.57355,1.02327,1.1616,0.79591,0.60242,0.66613,0.35058,1.72478,1.12282,1.21984,0.0013664,0.0013664,0.0013664
18,305.687,1.50344,0.97954,1.14856,0.8303,0.61789,0.6787,0.34807,1.76433,1.04124,1.29591,0.0013268,0.0013268,0.0013268
19,322.453,1.51769,0.93626,1.14085,0.80973,0.64228,0.69355,0.36793,1.71474,0.99232,1.25312,0.0012872,0.0012872,0.0012872
20,338.92,1.56028,0.95684,1.15427,0.81301,0.6748,0.67742,0.35628,1.65726,0.94274,1.22937,0.0012476,0.0012476,0.0012476
21,354.394,1.46791,0.90032,1.13081,0.86128,0.65622,0.69714,0.35051,1.75901,0.96278,1.26044,0.001208,0.001208,0.001208
22,370.289,1.48911,0.89591,1.14416,0.82728,0.62309,0.69658,0.36449,1.67818,1.01508,1.22199,0.0011684,0.0011684,0.0011684
23,386.642,1.46266,0.88999,1.11584,0.84665,0.6284,0.69022,0.37851,1.60235,0.94945,1.18321,0.0011288,0.0011288,0.0011288
24,402.619,1.48051,0.88899,1.13358,0.88422,0.65041,0.71587,0.39044,1.72287,0.89841,1.21456,0.0010892,0.0010892,0.0010892
25,418.715,1.42413,0.86448,1.10481,0.89872,0.65854,0.71932,0.39789,1.58715,0.84071,1.21414,0.0010496,0.0010496,0.0010496
26,435.602,1.43141,0.84025,1.11996,0.87133,0.60976,0.69642,0.38032,1.63753,0.85732,1.23886,0.00101,0.00101,0.00101
