epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.2402,2.19047,2.05797,1.40886,0.12851,0.0526,0.03238,0.01393,2.59595,4.34986,1.88621,0.000662675,0.000662675,0.0675289
2,104.977,2.21269,1.75204,1.38803,0.46603,0.3245,0.29043,0.12665,2.20498,2.04165,1.46821,0.00130302,0.00130302,0.034836
3,152.061,2.14274,1.68427,1.37445,0.38951,0.31788,0.26159,0.10703,2.23046,1.9239,1.4883,0.00191697,0.00191697,0.00211657
4,202.463,2.11884,1.62637,1.36709,0.42253,0.43898,0.34729,0.1531,2.06679,1.67064,1.35383,0.0018812,0.0018812,0.0018812
5,251.329,2.09849,1.60269,1.35495,0.51478,0.41249,0.37851,0.18137,2.02611,1.6245,1.37571,0.0018416,0.0018416,0.0018416
6,297.682,2.06207,1.56642,1.32136,0.49776,0.45007,0.41075,0.19702,1.98341,1.55871,1.33599,0.001802,0.001802,0.001802
7,341.764,2.02992,1.50354,1.31217,0.5411,0.47398,0.43143,0.19872,1.99501,1.42786,1.3411,0.0017624,0.0017624,0.0017624
8,387.04,2.01455,1.4838,1.30355,0.54325,0.46074,0.43336,0.20855,1.94303,1.4845,1.30935,0.0017228,0.0017228,0.0017228
9,432.474,2.00911,1.44564,1.2879,0.52654,0.46074,0.45058,0.22519,1.90133,1.39784,1.28683,0.0016832,0.0016832,0.0016832
10,480.175,1.96833,1.41557,1.26416,0.54508,0.44087,0.43023,0.20124,1.89892,1.611,1.27444,0.0016436,0.0016436,0.0016436
11,527.893,1.97365,1.3904,1.26596,0.57587,0.51277,0.49747,0.24944,1.85575,1.26942,1.26117,0.001604,0.001604,0.001604
12,574.272,1.92523,1.35619,1.25278,0.55344,0.52645,0.49548,0.24552,1.87043,1.2776,1.26187,0.0015644,0.0015644,0.0015644
13,627.909,1.92434,1.33094,1.24119,0.54057,0.51561,0.49741,0.25172,1.81397,1.27058,1.23903,0.0015248,0.0015248,0.0015248
14,683.243,1.91412,1.33461,1.22998,0.54434,0.52329,0.49757,0.2478,1.83491,1.26444,1.24969,0.0014852,0.0014852,0.0014852
15,733.097,1.89486,1.28886,1.22145,0.54369,0.51183,0.4944,0.24637,1.81824,1.31181,1.23252,0.0014456,0.0014456,0.0014456
16,787.925,1.86442,1.28159,1.22677,0.59195,0.5544,0.54797,0.27368,1.79019,1.23371,1.24428,0.001406,0.001406,0.001406
17,832.714,1.86794,1.26364,1.20935,0.60843,0.52333,0.53844,0.27511,1.78734,1.166,1.20895,0.0013664,0.0013664,0.0013664
18,884.948,1.84689,1.22915,1.19999,0.58176,0.51466,0.52815,0.26743,1.78069,1.1905,1.20448,0.0013268,0.0013268,0.0013268
19,932.136,1.83731,1.22879,1.1971,0.6411,0.52129,0.56468,0.28519,1.77961,1.12612,1.20544,0.0012872,0.0012872,0.0012872
20,980.63,1.82225,1.2157,1.19751,0.61319,0.57237,0.56953,0.29106,1.73865,1.17108,1.19831,0.0012476,0.0012476,0.0012476
21,1028.01,1.80049,1.19943,1.18309,0.61522,0.53453,0.55609,0.28785,1.72551,1.12381,1.16838,0.001208,0.001208,0.001208
22,1083.57,1.79839,1.19406,1.16666,0.64717,0.58562,0.59056,0.30904,1.7249,1.09336,1.19283,0.0011684,0.0011684,0.0011684
23,1134.43,1.78222,1.15763,1.16785,0.6109,0.54067,0.55869,0.287,1.74073,1.18543,1.19034,0.0011288,0.0011288,0.0011288
24,1181.27,1.76978,1.14237,1.16559,0.60095,0.56008,0.54809,0.28521,1.72573,1.14319,1.1859,0.0010892,0.0010892,0.0010892
25,1232.06,1.74735,1.14169,1.16181,0.615,0.55917,0.57045,0.29243,1.71519,1.15422,1.18584,0.0010496,0.0010496,0.0010496
26,1277.4,1.72547,1.11071,1.15264,0.64919,0.6017,0.61458,0.32677,1.65972,1.02821,1.1602,0.00101,0.00101,0.00101
27,1333.01,1.73226,1.10509,1.14696,0.6594,0.57711,0.60127,0.31579,1.6704,1.07576,1.16991,0.0009704,0.0009704,0.0009704
28,1384.83,1.72293,1.10082,1.14702,0.72101,0.55501,0.60964,0.31812,1.67865,1.04095,1.16074,0.0009308,0.0009308,0.0009308
29,1437.55,1.69462,1.07008,1.13863,0.6404,0.60738,0.62751,0.3325,1.6512,1.027,1.13724,0.0008912,0.0008912,0.0008912
30,1485.48,1.69668,1.08188,1.13009,0.64064,0.57143,0.60257,0.32327,1.67227,1.03506,1.14498,0.0008516,0.0008516,0.0008516
31,1536.51,1.66503,1.05291,1.13548,0.7012,0.56954,0.63415,0.33992,1.61637,0.97103,1.14286,0.000812,0.000812,0.000812
32,1589.31,1.65672,1.03879,1.12003,0.62947,0.60593,0.61218,0.33079,1.64858,1.00845,1.1582,0.0007724,0.0007724,0.0007724
33,1642.93,1.63399,1.01159,1.11611,0.67592,0.58467,0.6285,0.34281,1.5909,0.97207,1.13146,0.0007328,0.0007328,0.0007328
34,1694.13,1.63608,1.01804,1.11362,0.66723,0.62914,0.64452,0.34267,1.61189,0.96273,1.14158,0.0006932,0.0006932,0.0006932
35,1742.28,1.61172,0.99592,1.11412,0.70068,0.58911,0.64712,0.35106,1.58299,0.95146,1.12881,0.0006536,0.0006536,0.0006536
36,1797.93,1.60107,0.98447,1.10043,0.67625,0.61779,0.64661,0.34969,1.58259,0.93984,1.12868,0.000614,0.000614,0.000614
37,1855.18,1.58618,0.98549,1.09444,0.68889,0.61022,0.64523,0.35461,1.57788,0.91562,1.12866,0.0005744,0.0005744,0.0005744
38,1911.72,1.59701,0.96312,1.09378,0.71262,0.60292,0.66571,0.36039,1.577,0.91344,1.12682,0.0005348,0.0005348,0.0005348
39,1965.56,1.58909,0.97285,1.0949,0.6716,0.64236,0.65793,0.35935,1.54903,0.92144,1.11643,0.0004952,0.0004952,0.0004952
40,2022.57,1.57968,0.96233,1.09559,0.71377,0.59697,0.66019,0.37023,1.52645,0.88944,1.10303,0.0004556,0.0004556,0.0004556
41,2080.54,1.54278,0.92374,1.09017,0.71491,0.60971,0.65775,0.35792,1.57244,0.93597,1.11624,0.000416,0.000416,0.000416
42,2131.48,1.53351,0.90424,1.09332,0.72304,0.63387,0.68199,0.3722,1.53723,0.90773,1.11001,0.0003764,0.0003764,0.0003764
43,2180.58,1.49164,0.88014,1.0788,0.71947,0.62914,0.68039,0.37662,1.53183,0.89392,1.09573,0.0003368,0.0003368,0.0003368
44,2225.09,1.49011,0.87194,1.07118,0.7082,0.63601,0.68012,0.37836,1.52719,0.88742,1.10437,0.0002972,0.0002972,0.0002972
45,2278.04,1.46671,0.86133,1.06511,0.72394,0.62346,0.68294,0.37978,1.51702,0.87908,1.0891,0.0002576,0.0002576,0.0002576
46,2322.87,1.4605,0.84406,1.06219,0.72664,0.62441,0.68656,0.38772,1.50983,0.86014,1.09094,0.000218,0.000218,0.000218
47,2369.86,1.4656,0.85515,1.06708,0.73209,0.62535,0.68604,0.38864,1.49634,0.85459,1.08368,0.0001784,0.0001784,0.0001784
48,2414.74,1.42393,0.82618,1.05333,0.72391,0.64247,0.69023,0.39264,1.47982,0.84255,1.08225,0.0001388,0.0001388,0.0001388
49,2460.18,1.42818,0.82516,1.04744,0.73741,0.62725,0.69315,0.39401,1.47802,0.8484,1.0779,9.92e-05,9.92e-05,9.92e-05
50,2502.45,1.41533,0.8163,1.04285,0.71256,0.65658,0.69261,0.401,1.45698,0.83935,1.06994,5.96e-05,5.96e-05,5.96e-05
