epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.5479,2.18997,2.05237,1.43701,0.07013,0.26015,0.05077,0.02096,2.22426,5.1546,1.48548,0.000662675,0.000662675,0.0675289
2,119.837,2.18167,1.72569,1.41204,0.39015,0.31141,0.26009,0.10742,2.18266,2.29844,1.42485,0.00130302,0.00130302,0.034836
3,183.921,2.1607,1.66813,1.38991,0.44493,0.40039,0.33795,0.15292,2.09221,1.7272,1.37519,0.00191697,0.00191697,0.00211657
4,231.573,2.10149,1.59379,1.34421,0.49835,0.28631,0.26747,0.1139,2.25653,1.82829,1.46304,0.0018812,0.0018812,0.0018812
5,278.861,2.09061,1.57491,1.34468,0.20406,0.42843,0.13495,0.05525,2.0539,3.09246,1.34195,0.0018416,0.0018416,0.0018416
6,325.909,2.0357,1.51767,1.31269,0.48946,0.42836,0.3757,0.16349,2.04478,1.54238,1.35602,0.001802,0.001802,0.001802
7,371.936,2.0138,1.46688,1.31111,0.54818,0.4352,0.43156,0.20315,1.97989,1.46453,1.30282,0.0017624,0.0017624,0.0017624
8,423.674,1.99452,1.46677,1.2974,0.56926,0.45551,0.43559,0.20517,1.99117,1.49286,1.33065,0.0017228,0.0017228,0.0017228
9,470.466,1.98114,1.40987,1.27583,0.52871,0.46035,0.4421,0.21844,1.92616,1.32421,1.28684,0.0016832,0.0016832,0.0016832
10,514.16,1.94213,1.36897,1.25903,0.57905,0.43636,0.45888,0.22428,1.90868,1.32908,1.28646,0.0016436,0.0016436,0.0016436
11,568.486,1.92382,1.34294,1.25009,0.591,0.46615,0.47124,0.23441,1.87188,1.35796,1.27944,0.001604,0.001604,0.001604
12,617.86,1.89789,1.33105,1.2399,0.55964,0.47443,0.47175,0.22547,1.94446,1.39499,1.2892,0.0015644,0.0015644,0.0015644
13,670.04,1.90781,1.31321,1.25167,0.55119,0.50097,0.48289,0.23888,1.89349,1.27433,1.28177,0.0015248,0.0015248,0.0015248
14,719.115,1.90395,1.30204,1.2386,0.59126,0.47195,0.47982,0.23698,1.88614,1.27857,1.26538,0.0014852,0.0014852,0.0014852
15,763.3,1.86804,1.26693,1.22573,0.624,0.49226,0.50306,0.24221,1.86083,1.25127,1.28171,0.0014456,0.0014456,0.0014456
16,809.321,1.82286,1.23776,1.20391,0.61155,0.48113,0.50788,0.26006,1.82361,1.23537,1.26035,0.001406,0.001406,0.001406
