epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.0789,2.19055,2.1756,1.41601,0.35373,0.2612,0.2108,0.08208,2.45188,2.30463,1.54652,0.000662675,0.000662675,0.0675289
2,132.672,2.23032,1.81701,1.42542,0.31285,0.24404,0.18273,0.07332,2.43723,2.31864,1.52072,0.00130302,0.00130302,0.034836
3,190.473,2.19491,1.756,1.40963,0.41917,0.34604,0.29728,0.12053,2.21465,2.81533,1.449,0.00191697,0.00191697,0.00211657
4,241.965,2.15465,1.6843,1.37202,0.09286,0.27169,0.05647,0.02337,2.41313,4.13289,1.51034,0.0018812,0.0018812,0.0018812
5,292.659,2.10882,1.61565,1.3671,0.45262,0.35471,0.32231,0.14436,2.23471,1.69076,1.42182,0.0018416,0.0018416,0.0018416
6,345.699,2.06357,1.56505,1.33331,0.47458,0.39561,0.35827,0.15545,2.16984,1.68555,1.4044,0.001802,0.001802,0.001802
7,392.658,2.02515,1.52612,1.3264,0.47511,0.33746,0.33253,0.15219,2.14021,1.863,1.39973,0.0017624,0.0017624,0.0017624
8,449.618,2.0047,1.49601,1.30352,0.44234,0.41945,0.36637,0.16778,2.10263,1.6286,1.35565,0.0017228,0.0017228,0.0017228
9,497.783,1.9985,1.45396,1.29415,0.4571,0.43824,0.3662,0.15693,2.13934,1.57908,1.39083,0.0016832,0.0016832,0.0016832
10,552.588,1.97282,1.44892,1.28571,0.49625,0.47569,0.43341,0.19884,2.07115,1.46842,1.33817,0.0016436,0.0016436,0.0016436
11,599.874,1.9243,1.3724,1.24992,0.51445,0.48785,0.43711,0.20219,2.04354,1.43324,1.32808,0.001604,0.001604,0.001604
12,662.273,1.92507,1.36064,1.25908,0.53014,0.42517,0.42147,0.19729,2.02515,1.53442,1.29935,0.0015644,0.0015644,0.0015644
13,711.417,1.92548,1.3365,1.24662,0.4873,0.5081,0.44498,0.21296,1.98585,1.37974,1.28081,0.0015248,0.0015248,0.0015248
14,761.489,1.9242,1.35191,1.24709,0.49042,0.45281,0.42431,0.18953,2.02901,1.66812,1.29451,0.0014852,0.0014852,0.0014852
15,814.044,1.87804,1.30411,1.23096,0.55143,0.5205,0.476,0.2187,1.98224,1.32967,1.26667,0.0014456,0.0014456,0.0014456
16,863.03,1.85331,1.27847,1.22983,0.56309,0.46806,0.46779,0.21701,1.98033,1.35726,1.2924,0.001406,0.001406,0.001406
17,909.269,1.8447,1.25603,1.22161,0.59034,0.55195,0.50783,0.23774,1.94592,1.28135,1.27428,0.0013664,0.0013664,0.0013664
18,961.23,1.80413,1.22983,1.20108,0.56722,0.53861,0.5192,0.25239,1.85202,1.2819,1.21495,0.0013268,0.0013268,0.0013268
19,1007.5,1.80765,1.24226,1.19876,0.5665,0.512,0.49588,0.24357,1.88381,1.26982,1.23238,0.0012872,0.0012872,0.0012872
20,1055.35,1.81577,1.22695,1.19775,0.56714,0.50048,0.51424,0.25549,1.85918,1.24284,1.22024,0.0012476,0.0012476,0.0012476
21,1107.2,1.77634,1.20689,1.19171,0.57931,0.52116,0.50525,0.24567,1.873,1.28203,1.22697,0.001208,0.001208,0.001208
22,1167.36,1.80014,1.20813,1.19028,0.59599,0.51764,0.52318,0.24782,1.91061,1.2223,1.2474,0.0011684,0.0011684,0.0011684
23,1219.86,1.77049,1.17497,1.17216,0.59384,0.56149,0.53428,0.25792,1.86232,1.21201,1.22716,0.0011288,0.0011288,0.0011288
24,1268.81,1.74649,1.13457,1.16835,0.58059,0.54105,0.52998,0.26587,1.86042,1.18249,1.22949,0.0010892,0.0010892,0.0010892
25,1320.65,1.73818,1.1436,1.16524,0.62617,0.53575,0.53234,0.26381,1.82484,1.1942,1.21087,0.0010496,0.0010496,0.0010496
26,1370.37,1.73818,1.13239,1.16126,0.60526,0.5569,0.54654,0.27721,1.80967,1.17336,1.20551,0.00101,0.00101,0.00101
27,1419.48,1.71668,1.12382,1.15132,0.62251,0.53384,0.54341,0.27085,1.78879,1.18528,1.18298,0.0009704,0.0009704,0.0009704
28,1475.65,1.68907,1.09733,1.14069,0.6057,0.57112,0.55331,0.27526,1.78405,1.13862,1.19934,0.0009308,0.0009308,0.0009308
29,1524.53,1.68486,1.07504,1.14934,0.63418,0.57769,0.56843,0.28304,1.80609,1.13333,1.19728,0.0008912,0.0008912,0.0008912
30,1569.66,1.6921,1.09613,1.14368,0.61268,0.57301,0.56497,0.28681,1.7401,1.15538,1.17273,0.0008516,0.0008516,0.0008516
31,1618.95,1.64618,1.06144,1.13334,0.6272,0.57769,0.57996,0.2906,1.75921,1.098,1.19124,0.000812,0.000812,0.000812
32,1665.09,1.64242,1.05591,1.11872,0.6098,0.5557,0.55416,0.27881,1.77932,1.14335,1.19107,0.0007724,0.0007724,0.0007724
33,1709.54,1.657,1.0539,1.11863,0.6254,0.57388,0.57765,0.29396,1.74582,1.10169,1.18345,0.0007328,0.0007328,0.0007328
