epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.4762,2.06334,1.89594,1.35538,0.3351,0.25953,0.22879,0.10305,2.08984,2.19975,1.36369,0.000662675,0.000662675,0.0675289
2,110.332,2.10705,1.64296,1.37533,0.45035,0.43535,0.37354,0.16042,2.02811,1.64457,1.35448,0.00130302,0.00130302,0.034836
3,165.665,2.09417,1.59326,1.37365,0.41587,0.39349,0.33824,0.14665,2.04214,1.66532,1.32739,0.00191697,0.00191697,0.00211657
4,218.412,2.06113,1.5106,1.34385,0.42408,0.36852,0.341,0.14835,2.20374,1.70401,1.40749,0.0018812,0.0018812,0.0018812
5,271.031,2.04206,1.49967,1.33043,0.50194,0.52186,0.43239,0.19062,1.96893,1.45141,1.29903,0.0018416,0.0018416,0.0018416
6,321.724,2.00545,1.46717,1.31812,0.46636,0.52186,0.44681,0.19738,1.97247,1.424,1.29382,0.001802,0.001802,0.001802
7,367.035,1.95104,1.39247,1.28345,0.51387,0.47494,0.43462,0.20256,1.91762,1.37268,1.30839,0.0017624,0.0017624,0.0017624
8,413.709,1.92491,1.36672,1.27148,0.52869,0.52487,0.48333,0.21506,1.9609,1.33955,1.30384,0.0017228,0.0017228,0.0017228
9,467.982,1.93403,1.3628,1.26927,0.51282,0.51256,0.4698,0.21532,1.91068,1.31092,1.27566,0.0016832,0.0016832,0.0016832
10,521.448,1.90241,1.33038,1.25203,0.5456,0.5293,0.50336,0.23555,1.90926,1.21365,1.29052,0.0016436,0.0016436,0.0016436
11,579.656,1.88936,1.28575,1.23578,0.54066,0.5507,0.49362,0.23545,1.84683,1.27346,1.24594,0.001604,0.001604,0.001604
12,637.421,1.85003,1.25497,1.22107,0.54336,0.55256,0.50818,0.24377,1.86409,1.24104,1.24032,0.0015644,0.0015644,0.0015644
13,691.026,1.85889,1.25748,1.23697,0.59122,0.52465,0.52664,0.25214,1.85807,1.21574,1.26289,0.0015248,0.0015248,0.0015248
14,746.363,1.84668,1.23859,1.21931,0.55286,0.54977,0.52487,0.25858,1.83629,1.15918,1.24347,0.0014852,0.0014852,0.0014852
15,799.098,1.80722,1.22452,1.20371,0.56472,0.58977,0.52942,0.2567,1.83467,1.18217,1.24193,0.0014456,0.0014456,0.0014456
16,844.645,1.81427,1.23544,1.21205,0.58408,0.5786,0.54293,0.26172,1.84408,1.14899,1.23771,0.001406,0.001406,0.001406
17,890.011,1.80032,1.19747,1.1936,0.57859,0.56186,0.54186,0.26908,1.7973,1.15793,1.21107,0.0013664,0.0013664,0.0013664
18,945.964,1.78718,1.18402,1.18524,0.55769,0.56064,0.542,0.26076,1.8147,1.19006,1.21025,0.0013268,0.0013268,0.0013268
19,1000.92,1.77418,1.16067,1.18763,0.62425,0.61971,0.57571,0.28005,1.79607,1.0987,1.2184,0.0012872,0.0012872,0.0012872
20,1056.79,1.75432,1.15455,1.17623,0.56634,0.60651,0.55981,0.27354,1.76544,1.15991,1.21943,0.0012476,0.0012476,0.0012476
21,1108.47,1.73957,1.13169,1.1716,0.6188,0.59163,0.5871,0.2951,1.75311,1.06976,1.19509,0.001208,0.001208,0.001208
